state,state_fips,state_postal,overall_rate,hormone_rate,colorectal_rate,stomach_rate,nitrate_rate_per_system,nitrate_rate_per_100k_capita
Alabama,01,AL,450.7,49.76432040328377,45.2,6.5,0.0,0.0
Alaska,02,AK,455.7,39.81453949439114,46.0,7.8,0.0015515903801396431,0.23369099740486146
Arizona,04,AZ,410.1,45.00213423578566,36.6,5.5,0.0354306658521686,1.1146917915633976
Arkansas,05,AR,467.0,50.14616557936922,45.5,6.1,0.0,0.0
California,06,CA,429.9,44.75044430339679,39.6,7.9,0.06029000254388196,1.110026818388442
Colorado,08,CO,422.3,46.430298571767715,36.5,5.4,0.008802816901408451,0.2659830901250453
Connecticut,09,CT,497.7,61.06181626305769,43.0,8.1,0.001685630004214075,0.1340234648282221
Delaware,10,DE,502.1,61.3706759291831,42.4,6.8,0.14473684210526316,9.321117585050962
District of Columbia,11,DC,471.7,52.17788994245897,45.4,8.8,0.0,0.0
Florida,12,FL,484.0,58.20641575020221,42.4,6.3,0.002073828287017835,0.04445955871842832
Georgia,13,GA,475.1,47.65963647380397,43.8,6.8,0.000839278220730172,0.01860613619207933
Hawaii,15,HI,420.0,51.25279729924658,43.9,9.9,0.0,0.0
Idaho,16,ID,458.8,50.155017874086234,38.4,5.1,0.012170385395537525,1.3583703630754183
Illinois,17,IL,483.0,52.024290643680786,47.6,7.3,0.00803616273229533,0.26232531388453456
Indiana,18,IN,475.1,48.07256161415728,46.9,5.7,0.0060911016949152545,0.4010364175939907
Iowa,19,IA,490.8,54.913722274930144,48.6,5.2,0.057660626029654036,3.34606857656012
Kansas,20,KS,469.4,52.130156409806055,44.4,5.3,0.1416184971098266,5.082309207692195
Kentucky,21,KY,524.1,50.95815012525845,52.2,6.3,0.004484304932735426,0.03909800129062502
Louisiana,22,LA,494.0,50.98160410852275,50.0,7.7,0.0,0.0
Maine,23,ME,502.3,61.07910624933112,43.6,5.9,0.0018438844499078057,0.33367442274324866
Maryland,24,MD,466.0,54.34341715431733,41.1,6.8,0.008199409642505739,0.42784716888394186
Massachusetts,25,MA,476.4,56.79589967223969,41.5,6.9,0.002163331530557058,0.03880833572004598
Michigan,26,MI,484.9,55.522836285681855,43.1,6.6,0.0034380226723657314,0.4095150942836563
Minnesota,27,MN,479.4,53.785705357833336,41.6,5.7,0.0019798964361864148,0.2450193226007331
Mississippi,28,MS,481.4,50.685396709775844,49.8,7.1,0.0,0.0
Missouri,29,MO,473.1,50.69580535578957,46.2,5.6,0.004963600264725348,0.24621776681142082
Montana,30,MT,472.3,60.36256631463239,41.8,5.3,0.00585321927059883,1.136372576357681
Nebraska,31,NE,468.4,51.74801351785847,47.6,5.2,0.05619834710743802,3.7716279289048136
Nevada,32,NV,428.1,45.442057034681326,40.9,5.8,0.0014903129657228018,0.028204305217965693
New Hampshire,33,NH,499.6,59.7668050578201,41.4,5.7,0.0,0.0
New Jersey,34,NJ,501.3,60.09804559603596,46.5,8.3,0.003708987161198288,0.13681711813684552
New Mexico,35,NM,398.0,46.81173648326018,36.7,6.9,0.0018115942028985507,0.09378382079037254
New York,36,NY,489.8,57.28575089899279,44.1,8.9,0.0017976373908577298,0.07283348096853338
North Carolina,37,NC,480.8,53.62720936809863,41.1,6.3,0.0008173273395995096,0.0399955045052936
North Dakota,38,ND,462.9,53.420804308256464,47.3,5.7,0.0,0.0
Ohio,39,OH,476.2,53.70897806493315,45.4,6.1,0.003024955886059995,0.11217576296812581
Oklahoma,40,OK,466.7,48.27225278279816,45.5,5.6,0.0768012668250198,2.6569781010221423
Oregon,41,OR,453.9,53.497310371415594,38.8,5.3,0.0027472527472527475,0.17390263092321678
Pennsylvania,42,PA,492.3,60.098266258334895,46.7,6.7,0.017300095354856288,1.007158837434175
Rhode Island,44,RI,497.8,58.00404885666885,42.9,7.8,0.0,0.0
South Carolina,45,SC,467.5,53.55139385965702,42.6,6.8,0.0,0.0
South Dakota,46,SD,470.6,55.268883937244574,45.9,5.2,0.0014104372355430183,0.10308491929481668
Tennessee,47,TN,460.4,49.28525483943085,43.2,5.7,0.002103049421661409,0.055269062230476965
Texas,48,TX,443.5,40.759776274272404,42.0,7.0,0.030129725205746968,0.6369762783251334
Utah,49,UT,418.0,39.45032239236846,33.4,4.8,0.0008396305625524769,0.025482576288462764
Vermont,50,VT,475.1,57.99707232700341,39.7,5.2,0.0,0.0
Virginia,51,VA,432.5,49.07304234571338,39.5,6.0,0.001213101496158512,0.040743514820793046
Washington,53,WA,471.5,51.536772761130834,39.3,6.1,0.032210526315789474,1.4953415711993696
West Virginia,54,WV,497.0,56.768538524522015,50.9,5.9,0.020933977455716585,1.3092195238872137
Wisconsin,55,WI,477.8,55.380660837993354,41.9,6.2,0.0020573779860555493,0.48512015213367976
Wyoming,56,WY,424.1,50.432469409572946,39.1,4.8,0.04353741496598639,5.0149193851708835
