SUBMISSIONYEARQUARTER,PWSID,PWS_ACTIVITY_CODE,POPULATION_SERVED_COUNT,STATE_CODE
2026Q2,OH1247412,A,170,OH
2026Q2,OH7239012,A,475,OH
2026Q2,NJ0811362,A,51,NJ
2026Q2,OH7101212,A,9000,OH
2026Q2,NJ0810324,A,25,NJ
2026Q2,OH3843312,A,113,OH
2026Q2,OH8562512,A,119,OH
2026Q2,NJ0301316,A,55,NJ
2026Q2,OH0735022,A,25,OH
2026Q2,OH0735012,A,25,OH
2026Q2,OH8554612,A,108,OH
2026Q2,NM3549301,A,161,NM
2026Q2,OH7534412,A,75,OH
2026Q2,SD4602323,A,178,SD
2026Q2,OH2230411,A,150,OH
2026Q2,OH1546412,A,50,OH
2026Q2,SD4602301,A,45,SD
2026Q2,OH7758412,A,25,OH
2026Q2,OH1900512,A,513,OH
2026Q2,OH1948312,A,30,OH
2026Q2,OH2563112,A,74,OH
2026Q2,OH4642312,A,341,OH
2026Q2,MN5560733,A,35,MN
2026Q2,MN5250087,A,25,MN
2026Q2,MO3031302,A,260,MO
2026Q2,MN5560436,A,150,MN
2026Q2,MN5294720,A,25,MN
2026Q2,MN5850122,A,50,WI
2026Q2,MN5770218,A,25,MN
2026Q2,MN5180760,A,80,MN
2026Q2,MN5820621,A,25,MN
2026Q2,NC1050102,A,50,NC
2026Q2,NC0291132,A,25,NC
2026Q2,NC0291131,A,50,NC
2026Q2,NC2036041,A,28,UT
2026Q2,NC2036043,A,30,UT
2026Q2,NC2036042,A,30,UT
2026Q2,NC0279455,A,75,NC
2026Q2,NC0180428,A,40,NC
2026Q2,NC0155578,A,100,NC
2026Q2,NC0188573,A,50,NC
2026Q2,NC3017050,A,75,NC
2026Q2,NC0158479,A,60,NC
2026Q2,NC0424562,A,35,NC
2026Q2,NM3590625,A,126,NM
2026Q2,NM3590330,A,125,NM
2026Q2,NM3593426,A,150,NM
2026Q2,MN5570117,A,25,ND
2026Q2,MN1610010,A,25,MN
2026Q2,NC0332130,A,87,NC
2026Q2,MN1190001,A,50300,MN
2026Q2,MN5740004,A,100,MN
2026Q2,MN5850058,A,40,MN
2026Q2,OR4191683,A,500,OR
2026Q2,NY1322045,A,200,NY
2026Q2,NY1302787,A,1200,NY
2026Q2,ID4430107,A,50,ID
2026Q2,ID1280206,A,591,ID
2026Q2,OH8100412,A,705,OH
2026Q2,NC0382700,A,110,NC
2026Q2,NC0382702,A,25,NC
2026Q2,OH5400212,A,1501,OH
2026Q2,CA4200872,A,36,CA
2026Q2,CA5400526,A,53,CA
2026Q2,CA3600149,A,30,CA
2026Q2,CA4010016,A,7086,CA
2026Q2,MN5020224,A,40,MN
2026Q2,MN5310809,A,65,MN
2026Q2,MN5290182,A,40,MN
2026Q2,MN5560661,A,50,MN
2026Q2,MO3048033,A,195,MO
2026Q2,MN5020592,A,150,MN
2026Q2,MO5210631,A,25,MO
2026Q2,OH7532312,A,30,OH
2026Q2,MN5090095,A,50,MN
2026Q2,MN1670005,A,214,MN
2026Q2,OH6780512,A,48,OH
2026Q2,MO5282679,A,55,MO
2026Q2,OH7780112,A,108,OH
2026Q2,MO5212921,A,200,MO
2026Q2,TX0200741,A,25,TX
2026Q2,OH2830912,A,550,OH
2026Q2,MN5271172,A,25,MN
2026Q2,MN5561019,A,25,MN
2026Q2,OH7773012,A,135,OH
2026Q2,OH7799948,A,50,OH
2026Q2,OH1941612,A,160,OH
2026Q2,OH5040112,A,96,OH
2026Q2,MN5760061,A,30,MN
2026Q2,MN5680163,A,25,MN
2026Q2,TX2410021,A,36,TX
2026Q2,TX2410005,A,8756,TX
2026Q2,MN5500057,A,55,MN
2026Q2,MN5560988,A,300,MN
2026Q2,MN5340039,A,400,MN
2026Q2,MN1090007,A,250,MN
2026Q2,MN5040664,A,70,MN
2026Q2,MN5580441,A,175,MN
2026Q2,MN5580360,A,25,MN
2026Q2,NJ1309339,A,74,NJ
2026Q2,OH0637212,A,112,OH
2026Q2,OH6754312,A,418,OH
