SUBMISSIONYEARQUARTER,PWSID,VIOLATION_ID,VIOLATION_CATEGORY_CODE,IS_HEALTH_BASED_IND,CONTAMINANT_CODE
2026Q2,CA2400006,8412516,MCL,Y,1040
2026Q2,OR4101030,7173880,MCL,Y,1040
2026Q2,KS2016302,8347083,MCL,Y,1040
2026Q2,MI6420065,8615258,MCL,Y,1040
2026Q2,TX0390019,254088,MCL,Y,1040
2026Q2,CA3310021,8600817,MCL,Y,1040
2026Q2,KS2016501,8343883,MCL,Y,1040
2026Q2,CA5400663,8100252,MCL,Y,1040
2026Q2,CA3610050,8700867,MCL,Y,1040
2026Q2,DE0002303,10590,MCL,Y,1040
2026Q2,DE0000075,1193,MCL,Y,1040
2026Q2,OK2002659,50294,MCL,Y,1040
2026Q2,OK2003704,98893,MCL,Y,1040
2026Q2,AZ0407088,1059781,MCL,Y,1040
2026Q2,090605177,060517701104012026,MCL,Y,1040
2026Q2,CA3900716,8941494,MCL,Y,1040
2026Q2,IA7341059,11180,MCL,Y,1040
2026Q2,MD1101216,91V0001,MCL,Y,1040
2026Q2,TX1590006,1245782,MCL,Y,1040
2026Q2,CA3310021,8600818,MCL,Y,1040
2026Q2,CA4200514,8416101,MCL,Y,1040
2026Q2,MD1061156,92V0001,MCL,Y,1040
2026Q2,MD1060050,8001034,MCL,Y,1040
2026Q2,TX2440006,1253282,MCL,Y,1040
2026Q2,MI0820074,8615299,MCL,Y,1040
2026Q2,AZ0414021,1011581,MCL,Y,1040
2026Q2,IA2825099,96199,MCL,Y,1040
2026Q2,MI2008933,8615315,MCL,Y,1040
2026Q2,CA3000513,8413709,MCL,Y,1040
2026Q2,DE0001541,8790,MCL,Y,1040
2026Q2,WY5600164,296,MCL,Y,1040
2026Q2,OK2002411,94693,MCL,Y,1040
2026Q2,DE0002316,14992,MCL,Y,1040
2026Q2,CA5410012,8400577,MCL,Y,1040
2026Q2,WA5313550,93V0001,MCL,Y,1040
2026Q2,CA3310010,8010123,MCL,Y,1040
2026Q2,PA7360092,8535472,MCL,Y,1040
2026Q2,PA7360031,8535164,MCL,Y,1040
2026Q2,CA1300540,8314398,MCL,Y,1040
2026Q2,TX1650086,195,MCL,Y,1040
2026Q2,AZ0407357,503,MCL,Y,1040
2026Q2,CA4100521,8380079,MCL,Y,1040
2026Q2,DE0000832,5980,MCL,Y,1040
2026Q2,CA1400004,8200005,MCL,Y,1040
2026Q2,MD1131026,8200416,MCL,Y,1040
2026Q2,WA5385129,0261413,MCL,Y,1040
2026Q2,MD0220002,8300107,MCL,Y,1040
2026Q2,CA3600115,8735917,MCL,Y,1040
2026Q2,ID2350005,2135585,MCL,Y,1040
2026Q2,TX0680013,193,MCL,Y,1040
2026Q2,PA7220857,8420241,MCL,Y,1040
2026Q2,MI0320047,8615103,MCL,Y,1040
2026Q2,KS2001307,45980,MCL,Y,1040
2026Q2,CA2710016,8400197,MCL,Y,1040
2026Q2,CA3000825,8000248,MCL,Y,1040
2026Q2,CA1000355,8625954,MCL,Y,1040
2026Q2,MD1051012,8200395,MCL,Y,1040
2026Q2,MI3920088,8615324,MCL,Y,1040
2026Q2,CA4310006,8110134,MCL,Y,1040
2026Q2,TX2440009,4115992,MCL,Y,1040
2026Q2,DE0000075,6690,MCL,Y,1040
2026Q2,CA3400140,8100204,MCL,Y,1040
2026Q2,OK2002902,25695,MCL,Y,1040
2026Q2,DE0000627,391,MCL,Y,1040
2026Q2,PA3480407,8310271,MCL,Y,1040
2026Q2,TX2440001,189,MCL,Y,1040
2026Q2,IN2710122,18,MCL,Y,1040
2026Q2,DE0001541,2191,MCL,Y,1040
2026Q2,KS2015708,31781,MCL,Y,1040
2026Q2,TX0390003,4102192,MCL,Y,1040
2026Q2,DE0000299,9093,MCL,Y,1040
2026Q2,CA5410012,8900393,MCL,Y,1040
2026Q2,CA2701820,8380035,MCL,Y,1040
2026Q2,DE0000601,4880,MCL,Y,1040
2026Q2,WA5359317,2471407,MCL,Y,1040
2026Q2,CA3901107,9044779,MCL,Y,1040
2026Q2,CA2700754,8413576,MCL,Y,1040
2026Q2,CA2400122,8626923,MCL,Y,1040
2026Q2,NE3150495,203493,MCL,Y,1040
2026Q2,DE0000299,10193,MCL,Y,1040
2026Q2,CA3310033,8010148,MCL,Y,1040
2026Q2,TX1520012,419085,MCL,Y,1040
2026Q2,PA2400379,9223301,MCL,Y,1040
2026Q2,MI2008962,8615169,MCL,Y,1040
2026Q2,ID6030045,2136185,MCL,Y,1040
2026Q2,AZ0407438,1216281,MCL,Y,1040
2026Q2,CA3301644,8380039,MCL,Y,1040
2026Q2,WA5366615,88V0001,MCL,Y,1040
2026Q2,DE0001598,497,MCL,Y,1040
2026Q2,PA3060825,8028945,MCL,Y,1040
2026Q2,CA3000605,8633228,MCL,Y,1040
2026Q2,IA0932401,21285,MCL,Y,1040
2026Q2,DE0000864,993,MCL,Y,1040
2026Q2,OK2005749,131099,MCL,Y,1040
2026Q2,AZ0407128,1055382,MCL,Y,1040
2026Q2,DE0000864,7992,MCL,Y,1040
2026Q2,AZ0407090,415083,MCL,Y,1040
2026Q2,CA0400029,8200001,MCL,Y,1040
2026Q2,CA4310006,8010201,MCL,Y,1040
